original_input,gold_reference,google/flan-t5-xxl,davinci-instruct-beta,gpt-3.5-turbo,id
""" Being at Hopeworks makes me want to impart my skills , "" she said .",Gabrielle said that Hopeworks has helped her .,""" Being at Hopeworks makes me want to impart my skills ,"" she said .","1. ""Hopeworks inspires me to share my skills,"" she mentioned.
2. ""Hopeworks motivates me to teach my skills,"" she stated.

Chosen version: ""Hopeworks inspires me to share my skills,"" she mentioned.","Simplified version 1: ""Hopeworks inspires me to share my skills,"" she said.

Simplified version 2: ""Hopeworks makes me feel like teaching my skills,"" she said.

**Chosen version: ""Hopeworks inspires me to share my skills,"" she said.**",c17dd00671c10c8ed819895739a174c4dba6733dbfa5e365d0697a00d3c56fa6
"Many students said the Lovato concert was a good move for Clinton , but they were not all convinced .",Many students said the Lovato concert was a good move for Clinton . Not all of them were convinced .,Many students said the Lovato concert was a good move for Clinton .,"Simplified version 1: Some students thought the Lovato concert was a good idea for Clinton, but not everyone was sure.

Simplified version 2: Some students believed the Lovato concert was positive for Clinton, but not all were convinced.

**Chosen version: Some students thought the Lovato concert was a good idea for Clinton, but not everyone was sure.**","Simplified version 1: Some students thought the Lovato concert was a good idea for Clinton, but not everyone was sure.

Simplified version 2: Some students liked the Lovato concert for Clinton, but not all were convinced. 

Chosen version: Some students thought the Lovato concert was a good idea for Clinton, but not everyone was sure.",13ea6eea521cbb47b13b2778c4bd89f914fab6cb31caf52d85b7868dfdb7864c
"In the midst of it , rapper Common summarizes how words , melody and a protest merged during the civil-rights movement .",Music has been a big part of the struggle for civil rights for a long time .,"In the middle of it , rapper Common summarizes how words , melody and a protest merged during the civil-rights movement .","Simplified version 1: Rapper Common talks about how words, melody, and protest came together during the civil rights movement.

Simplified version 2: Rapper Common explains how words, melody, and protest combined in the civil rights movement.

**Chosen version: Rapper Common talks about how words, melody, and protest came together during the civil rights movement.**","Simplified version 1: Rapper Common talks about how words, melody, and protest came together during the civil rights movement.

Simplified version 2: Rapper Common explains how words, melody, and protest combined in the civil rights movement.

**Chosen version: Rapper Common talks about how words, melody, and protest came together during the civil rights movement.**",6d4ccae1d65b9e33ac1253aed2e321aaa7ba4bdfcf19e37c966d9b0ba5e44a3f
"He is the first to market a simplified version of the tool to the public , a project that , for now , is not dangerous .",Zayner is the first to sell a gene-changing tool to regular people . His set is not dangerous .,He is the first to market a simplified version of the tool to the public .,"Simplified version 1: He is the first to release a basic version of the tool to the public, a project that is currently safe.

Simplified version 2: He is the first to introduce a simple tool to the public, a project that is not risky at the moment.

**Chosen version: He is the first to release a basic version of the tool to the public, a project that is currently safe.**","Simplified version 1: He is the first to release a basic version of the tool to the public, a project that is currently safe.

Simplified version 2: He is the first to introduce a simple tool to the public, a project that is not risky at the moment.

Final chosen version: He is the first to release a basic version of the tool to the public, a project that is currently safe.",9ec83328fbea94d7cdc4b92aba92f64abaa8727f6c0c99cc3b588b58bb8bb3f5
Such activities provoked fears and intense distrust among the city 's white population .,The city 's whites soon became distrustful of the church .,Such activities caused intense distrust among the city 's white population .,"Simplified version 1: These activities made the white people in the city very scared and distrustful.

Simplified version 2: These actions caused fear and distrust among the white residents of the city.

**Chosen version: These actions made the white people in the city very scared and distrustful.**","Simplified version 1: These activities made the white people in the city very scared and distrustful.

Simplified version 2: These actions caused fear and distrust among the white residents of the city.

**Chosen version:**
These actions made the white people in the city very scared and distrustful.",807119fcc131fd3b923cf189b1984e1ed88fece0663b20c95d28a9488bb2cc63
"Areas of the brain involved in executive function are not fully developed and integrated in children , research has shown .",Research has shown that certain important areas of the brain are not fully developed and connected in children .,The brain areas involved in executive function are not fully developed and integrated in children .,"1. Research has shown that children's brains are not fully developed in areas related to executive function.

2. Studies have found that children's brains are not fully developed in areas related to executive function. 

I choose: Research has shown that children's brains are not fully developed in areas related to executive function.","1. Research has shown that children's brains are not fully developed in areas related to executive function.
2. Studies have shown that children's brains lack full development in executive function areas. 

I choose: Research has shown that children's brains are not fully developed in areas related to executive function.",378a896f8f6c00945d814d6636582ec65c8fa6d55eeb1cb594c4dc545d196623
"At one point , he pointed to a front-page story in The New York Times and told his stunned colleagues that extraterrestrials had placed coded messages for him in the newspaper article .","At one point , he thought aliens were sending messages to him through the newspaper .","At one point , he pointed to a front-page story in The New York Times and told his colleagues that extraterrestrials had placed coded messages for him in the newspaper article .","Simplified version 1: He pointed to a front-page story in The New York Times and said aliens left secret messages for him in the article.

Simplified version 2: He showed his colleagues a front-page story in The New York Times and claimed aliens had hidden messages for him in it.

**Chosen version: He showed his colleagues a front-page story in The New York Times and claimed aliens had hidden messages for him in it.**","Simplified version 1: He pointed to a front-page story in The New York Times and said aliens left secret messages for him in the article.

Simplified version 2: He showed a front-page story in The New York Times to his colleagues, claiming aliens had hidden messages for him in it.

**Chosen version: He showed a front-page story in The New York Times to his colleagues, claiming aliens had hidden messages for him in it.**",2448eb8076d7de7c057e25bc19ed87c483499b250565bc8e874c839fad15ad2d
Scientists explained different people saw different colors because of the different ways our brains analyze the information it gets from our eyes .,Scientists explained that different people saw different colors because of the way the brain deals with what the eye sees .,Scientists explained different people saw different colors because of the different ways our brains analyze the information it gets from our eyes.,"1. Scientists said people see different colors because our brains analyze eye information in various ways.
2. Scientists said people see different colors due to how our brains process eye information.

I choose: Scientists said people see different colors because our brains analyze eye information in various ways.","1. People see different colors because their brains analyze information from their eyes in various ways, according to scientists.

2. Scientists say people see different colors because their brains process information from their eyes differently. 

I choose: ""People see different colors because their brains process information from their eyes differently, according to scientists.""",abd9b930a75b92044666af6080c68bfa72af50ab636e16c5294a7a5e495480c6
""" This is fantastic news .",Sunita said it was wonderful news .,""" This is great news .","Simplified version 1: ""This is great news.""

Simplified version 2: ""This is amazing news.""

Final chosen version: ""This is great news.""","Simplified version 1: ""This is great news.""

Simplified version 2: ""This news is amazing.""

Final chosen version: ""This is great news.""",af015d179ab544cfde58fbe349933f69c83ef39843bb21f267d954486471b8c5
Cargo drones are particularly well suited to the so-called local-agent delivery model .,Cargo drones are particularly good for reaching them .,Cargo drones are good for the local-agent delivery model.,"Simplified version 1: Cargo drones work well for local-agent deliveries.
Simplified version 2: Cargo drones are great for local-agent deliveries.

Chosen version: Cargo drones are great for local-agent deliveries.","Simplified version 1: Cargo drones work well for local-agent deliveries.
Simplified version 2: Cargo drones are great for local-agent deliveries.

Chosen version: Cargo drones are great for local-agent deliveries.",117ba626432272a1147d319f4dbf75b188c34059a90136f8f6be7c9bf3049686
"Some were completely intact , while others were fragmented .","Some were whole , while others were broken .","Some were intact , while others were fragmented .","Simplified version 1: Some were whole, others were broken.
Simplified version 2: Some were complete, others were in pieces.

Final chosen version: Some were whole, others were broken.","Simplified version 1: Some were whole, others were broken.
Simplified version 2: Some were complete, others were in pieces.

Chosen version: Some were whole, others were broken.",c66695eea14f17d597771518c795be959a393992c0e4c9f672452869e45991c4
"Although most of us take friction for granted when we hit the stop pedal , many of its details are still a mystery .",Yet even scientists do not understand everything about why they happen .,Friction is a mystery .,"Simplified version 1: We often overlook friction when we press the brake, but many aspects of it remain unknown.

Simplified version 2: While we usually don't think about it, there are still many things we don't know about friction when we step on the brake. 

**Chosen version: We often overlook friction when we press the brake, but many aspects of it remain unknown.**","Simplified version 1: We often overlook friction when we press the brake pedal, but many aspects of it remain unknown.

Simplified version 2: We usually don't think much about friction when we brake, but there are still many things we don't understand about it.

Chosen version: We often overlook friction when we press the brake pedal, but many aspects of it remain unknown.",ab419ec2b453ff93d66854fdc0363e3f8916b27ef82dce68590d414062263f8f
"In a rare interview , Chauvet described digging through narrow passageways and guiding a flashlight in the blackness until one of his fellow spelunkers came across "" the two lines of red ochre .","In an interview , Chauvet described finding the paintings . He told how he and the other explorers dug through narrow tunnels guided only by a flashlight until one of them spotted "" the two lines of red ochre .","Chauvet described digging through narrow passageways and guiding a flashlight in the blackness until one of his fellow spelunkers came across "" the two lines of red ochre .","Simplified version 1: In a rare interview, Chauvet talked about exploring tight passages with a flashlight until a fellow explorer found ""two red lines.""

Simplified version 2: In a rare interview, Chauvet discussed searching through narrow passages with a flashlight until a fellow explorer discovered ""two red lines.""

**Chosen version: In a rare interview, Chauvet talked about exploring tight passages with a flashlight until a fellow explorer found ""two red lines.""**","Chauvet talked about exploring tight tunnels with a flashlight until a fellow explorer found ""two red lines.""

Chauvet described searching through narrow tunnels with a flashlight until a friend found ""two red lines.""",0a6fc5f2c2195287988bd241188ad8adc46da5d2837a85e0c765897df8a998ac
"Alternatively , the chloroplasts might consent to keep busy because they are getting carbon dioxide or something else out of the deal , like the algae living in the salamanders ' eggs — until the slugs double-cross them and digest the plastids properly .","If so , the slugs might be getting some extra oxygen . In turn , the chloroplasts might be getting carbon dioxide from the slug .","The chloroplasts might keep busy because they are getting carbon dioxide or something else out of the deal , like the algae living in the salamanders ' eggs — until the slugs double-cross them and digest the plastids properly .","Simplified version 1: The chloroplasts may stay active to get carbon dioxide or other benefits, like the algae in salamanders' eggs. But the slugs can betray them and digest the plastids.

Simplified version 2: The chloroplasts might stay busy to get carbon dioxide or other benefits, like the algae in salamanders' eggs. However, the slugs can deceive them and digest the plastids. 

Chosen version: The chloroplasts may stay active to get carbon dioxide or other benefits, like the algae in salamanders' eggs. But the slugs can betray them and digest the plastids.","Simplified version 1: The chloroplasts may stay active to get carbon dioxide or other benefits, like the algae in salamanders' eggs. But the slugs can betray them and digest the plastids.

Simplified version 2: The chloroplasts might stay busy to get carbon dioxide or other benefits, like the algae in salamanders' eggs. However, the slugs can deceive them and digest the plastids. 

Chosen version: The chloroplasts may stay active to get carbon dioxide or other benefits, like the algae in salamanders' eggs. But the slugs can betray them and digest the plastids.",c8892f79ec297b6da376a7f81026bbe8bf84a05bcd56441447ff552f5fc76875
"The eels ' electricity-producing organ has both a positive and a negative end , with the positive end at the head and the negative end in the tail .",Both the head and the tail help an eel send out electricity .,The eels ' electricity-producing organ has both a positive and a negative end . The positive end is at the head and the negative end is in the tail .,"Simplified version 1: The eels have an organ that produces electricity. It has a positive end at the head and a negative end at the tail.

Simplified version 2: Eels have an organ that makes electricity. The positive end is at the head, and the negative end is at the tail.

**Chosen version: Eels have an organ that makes electricity. The positive end is at the head, and the negative end is at the tail.**","Simplified version 1: The eels have an organ that makes electricity. It has a positive end at the head and a negative end at the tail.

Simplified version 2: Eels have an organ that produces electricity. The positive end is at the head, and the negative end is at the tail.

**Chosen version:**
Eels have an organ that produces electricity. The positive end is at the head, and the negative end is at the tail.",4a2f7b1ee95ebeb6cda026d577f8fda04b4c6f288898e7ddcbde37234ebe6b48
"More important , according to Schmitt , young African-Americans can face a measure of discrimination when they try to get their foot in the door , sometimes losing job opportunities to white applicants .","More importantly , employers may treat them unfairly because they are black .","Young African-Americans can face discrimination when they try to get their foot in the door , sometimes losing job opportunities to white applicants .","Simplified version 1: Schmitt says young African-Americans may face discrimination when trying to get a job, losing opportunities to white applicants.

Simplified version 2: Schmitt notes that young African-Americans may experience discrimination in job applications, losing out to white candidates. 

**Chosen version: Schmitt says young African-Americans may face discrimination when trying to get a job, losing opportunities to white applicants.**","Simplified version 1: Schmitt says young African-Americans may face discrimination when trying to get a job, losing opportunities to white applicants.

Simplified version 2: Schmitt says young African-Americans can be discriminated against when applying for jobs, losing out to white applicants. 

**Chosen version: Schmitt says young African-Americans may face discrimination when trying to get a job, losing opportunities to white applicants.**",6c771d7556613489ca632a8f3866bf5a3f78a5cab8751a779f2932c9ac1330b0
"It is already widely understood that obesity — the condition of being extremely overweight — poses serious health risks , including heart disease and diabetes .",An obese person is someone who is extremely overweight . Scientists have long known that obesity is bad for your health .,"It is already widely understood that obesity — the condition of being extremely overweight — poses serious health risks , including heart disease and diabetes .","Simplified version 1: Obesity, being very overweight, can lead to serious health problems like heart disease and diabetes.

Simplified version 2: Obesity, or extreme overweight, can cause major health issues such as heart disease and diabetes.

**Chosen version: Obesity, being very overweight, can lead to serious health problems like heart disease and diabetes.**","Simplified version 1: Obesity, being very overweight, can lead to serious health problems like heart disease and diabetes.

Simplified version 2: Obesity, or extreme overweight, can cause major health issues such as heart disease and diabetes.

Chosen version: Obesity, being very overweight, can lead to serious health problems like heart disease and diabetes.",43cfde8f9b0167e1bd2b6febcbb068e1e13c202ef251d08ec401abfda8e1802c
"Without a major change in how teachers are taught , America will continue down the same path , raising generation after generation of students who do not understand what it means to be an American , who equate freedom of speech with "" selfies , "" who believe freedom of religion requires purging religion from the public square , who think our Founding Fathers — denigrated in popular culture as dead old white men — are irrelevant .","Without a major change in how teachers are taught , America will continue down the same path . We 'll continue to raise children who do not understand what it means to be an American . These kids will equate freedom of speech with "" selfies "" and believe freedom of religion requires removing religion from public life . Our Founding Fathers are already belittled in popular culture as dead old white men .","Without a major change in how teachers are taught , America will continue down the same path , raising generation after generation of students who do not understand what it means to be an American , who equate freedom of speech with "" selfies "" , who believe freedom of religion requires purging religion from the public square , who think our Founding Fathers — denigrated in popular culture as dead .","Simplified version 1: If teachers are not taught differently, America will keep producing students who don't grasp American values, confuse freedom of speech with selfies, and see our Founding Fathers as irrelevant.

Simplified version 2: Without changing how teachers are trained, America will keep creating students who don't understand American values, mix up freedom of speech with selfies, and think our Founding Fathers are unimportant. 

**Chosen version:**
If teachers are not taught differently, America will keep producing students who don't grasp American values, confuse freedom of speech with selfies, and see our Founding Fathers as irrelevant.","Simplified version 1: If teachers are not taught differently, America will keep producing students who don't grasp American values, confuse freedom of speech with selfies, and see our Founding Fathers as irrelevant.

Simplified version 2: Without changing how teachers are trained, America will keep creating students who don't understand American values, mix up freedom of speech with selfies, and think our Founding Fathers are unimportant. 

**Chosen version:**
If teachers are not taught differently, America will keep producing students who don't grasp American values, confuse freedom of speech with selfies, and see our Founding Fathers as irrelevant.",a4becdb4659349beb590028e7802612e526db255efd93065a2a75ad7aa2d4435
""" You can take any part of the car and talk about how it was engineered and why it 's designed the way it is to interact with the rest of the race car , and there 's a physics or a math or a science lesson in any of that , "" he said .","You can take any part of a race car and talk about its design , he said . "" There 's a physics or a math or a science lesson in any of that . """,""" You can take any part of the car and talk about how it was engineered and why it 's designed the way it is to interact with the rest of the race car , and there 's a physics or a math or a science lesson in any of that , "" he said .","Simplified version 1: ""You can discuss any car part, its engineering, design, and how it interacts with the race car. There's a lesson in physics, math, or science in all of that,"" he mentioned.

Simplified version 2: ""You can talk about any car part, its engineering, design, and how it works with the race car. There's a lesson in physics, math, or science in all of that,"" he explained.

**Chosen version:**
""You can discuss any car part, its engineering, design, and how it interacts with the race car. There's a lesson in physics, math, or science in all of that,"" he mentioned.","Simplified version 1: ""You can discuss any car part, explaining its engineering and design to work with the race car. There's a physics or science lesson in each part,"" he mentioned.

Simplified version 2: ""You can pick any car component, delve into its engineering and design for interaction with the race car. Each part offers a physics or science lesson,"" he explained.

**Chosen version:**
""You can discuss any car part, explaining its engineering and design to work with the race car. There's a physics or science lesson in each part,"" he mentioned.",385443fe046528018a612d3a2012669b9722469b90d7d0890cf8c42e496c5cd4
 It 's not unusual for people to talk about their accidents or near accidents along with the fun times they 've had . , It 's not unusual for people to talk about their accidents or near accidents . ,It 's not unusual for people to talk about their accidents or near accidents along with the fun times they 've had .,"1. People often share stories about their accidents or close calls along with their good times.
2. People commonly talk about their accidents or close calls along with their fun experiences.

Chosen version: People often share stories about their accidents or close calls along with their good times.","Simplified version 1: People often share stories about accidents or close calls along with their good times.

Simplified version 2: People commonly discuss accidents or close calls along with their enjoyable experiences.

**Chosen version: People often share stories about accidents or close calls along with their good times.**",5e1a729f0730079a5d13590ee7972727ec73a7f32fcb68897036303cb3f50abd
The National Museum of African American History and Culture has been working on the project with five other groups .,"The National Museum of African American History and Culture has been working on the "" Slave Wreck Project "" with five other groups .",The National Museum of African American History and Culture has been working on the project with five other groups.,"Simplified version 1: The National Museum of African American History and Culture is collaborating with five other groups on a project.

Simplified version 2: The National Museum of African American History and Culture is teaming up with five other groups for a project.

Chosen version: The National Museum of African American History and Culture is collaborating with five other groups on a project.","Simplified version 1: The museum is collaborating with five other groups on the project.

Simplified version 2: The museum is working on the project with five other groups. 

**Chosen version: The museum is collaborating with five other groups on the project.**",b1018e2dd0d8e9caf5db02e7996ff0ff67b2ba906e933b706f897c914b459319
"When she was 10 , her family moved to the United States without legal permission .","When she was 10 , her family moved to the United States . They came without permission .","When she was 10 , her family moved to the United States without legal permission .","Simplified version 1: When she was 10, her family moved to the United States illegally.

Simplified version 2: At age 10, her family moved to the United States without permission. 

**Chosen version: When she was 10, her family moved to the United States illegally.**","Simplified version 1: When she was 10, her family moved to the United States illegally.

Simplified version 2: At age 10, her family moved to the United States without permission. 

**Chosen version: When she was 10, her family moved to the United States illegally.**",fac00c77e00e99a3d1d05c9537928be862e2ca685015ecbd31f5d2d19e9a9409
Lapchick said he thinks legislative action would be more compelling than any punishment that the NCAA could hand out .,Lapchick said a NCAA rule would not be good enough .,Lapchick said he thinks legislative action would be more compelling than any punishment that the NCAA could hand out.,"1. Lapchick believes that legislative action is more powerful than any punishment the NCAA can give.
2. Lapchick thinks laws are stronger than NCAA penalties.

**Chosen version:**
Lapchick believes that legislative action is more powerful than any punishment the NCAA can give.","Simplified version 1: Lapchick believes that legislative action is more powerful than any punishment from the NCAA.

Simplified version 2: Lapchick thinks laws are stronger than NCAA penalties. 

Chosen version: Lapchick believes that legislative action is more powerful than any punishment from the NCAA.",2053492ba2e3d959928f1e4f1aa30a27ffa7993741f39540e4da47a3e6ca065a
 I get to work with people who make a difference every single day . ,""" I get to work with people who make a difference every single day , "" Nagle says .",I get to work with people who make a difference every day .,"Simplified version 1: I work with people who make a difference every day.

Simplified version 2: I work with people who make a difference daily.

Chosen version: I work with people who make a difference daily.","Simplified version 1: I work with people who make a difference every day.

Simplified version 2: I work with people who make a difference daily.

**Chosen version: I work with people who make a difference every day.**",c3c0ce98818e50babdff433766a059d66c6ff4451d8c3c0ca78e7a3fbc6ed78e
"Splashes of dry paint spatter the floor , and incense fills the air .",There are spots of dry paint on the floor and a set of barbells nearby .,"Splashes of dry paint spatter the floor , and incense fills the air .","1. Paint splatters on the floor, and incense scents the air.
2. Dry paint splashes on the floor, and incense fills the air.

Chosen version: Paint splatters on the floor, and incense scents the air.","Simplified version 1: Paint splatters on the floor, and incense is in the air.

Simplified version 2: Dry paint splashes on the floor, and incense fills the air.

Chosen version: Paint splatters on the floor, and incense is in the air.",26c0dee892b891c45ad8132a88771fa30ec8b4d9987e72794d8c969a67f3f887
She recalls a letter written to Lincoln by a Louisiana teacher who begged the president for a job up north .,She spoke about a letter written to Lincoln by a Louisiana teacher . The man begged the president for a job up North .,She recalls a letter written to Lincoln by a Louisiana teacher who begged the president for a job up north.,"Simplified version 1: A Louisiana teacher wrote a letter to Lincoln asking for a job in the North.

Simplified version 2: A teacher from Louisiana wrote to Lincoln, asking for a job in the North.

**Chosen version: A teacher from Louisiana wrote to Lincoln, asking for a job in the North.**","Simplified version 1: A Louisiana teacher wrote a letter to Lincoln asking for a job in the North.

Simplified version 2: A teacher from Louisiana wrote to Lincoln, asking for a job in the North.

**Chosen version: A teacher from Louisiana wrote to Lincoln, asking for a job in the North.**",7222c283c00807b77751dfe440ad164b5e39f8fa9b8b0480939b789174f80a1d
